time,concNhno3
2014-08-15,0.024776441976428032
2014-09-15,0.030469464138150215
2014-10-15,0.020001748576760292
2014-11-15,0.020975593477487564
2014-12-15,0.005463626701384783
2015-01-15,0.01275579072535038
2015-02-15,0.014547261409461498
2015-03-15,0.01627524197101593
2015-04-15,0.008356455713510513
2015-05-15,0.01682518795132637
2015-06-15,0.012924311682581902
2015-07-15,0.02298758178949356
2015-08-15,0.04844638705253601
2015-09-15,0.020176248624920845
2015-10-15,0.021037213504314423
2015-11-15,0.00688848877325654
2015-12-15,0.009296519681811333
2016-01-15,0.008744590915739536
2016-02-15,0.010469549335539341
2016-03-15,0.020633574575185776
2016-04-15,0.016293877735733986
2016-05-15,0.05089263617992401
2016-06-15,0.021966032683849335
2016-07-15,0.028411129489541054
2016-08-15,0.016994236037135124
