time,concNtnh
2007-07-15,0.0006583018694072962
2007-08-15,0.0004587134171742946
2007-09-15,0.0007377162110060453
2007-10-15,0.0005953188519924879
2007-11-15,0.00029529331368394196
2007-12-15,0.0004892984288744628
2008-01-15,0.0034111246932297945
2008-02-15,0.0064535667188465595
2008-03-15,0.0018821469275280833
2008-04-15,0.002439361298456788
2008-05-15,0.0013707149773836136
2008-06-15,0.0009500179439783096
2008-07-15,0.0022394086699932814
2008-08-15,0.002817923668771982
2008-09-15,0.0020990963093936443
2008-10-15,0.0007605288410559297
2008-11-15,0.0004496609908528626
2008-12-15,0.001253151218406856
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,0.0033866295125335455
2011-02-15,0.002625630469992757
2011-03-15,0.001377600128762424
2011-04-15,0.010128255002200603
2011-05-15,0.001691295299679041
2011-06-15,0.0007425481453537941
2011-07-15,0.0007801054744049907
2011-08-15,0.0034537750761955976
2011-09-15,0.002163525205105543
2011-10-15,0.005225551780313253
2011-11-15,0.002566123614087701
2011-12-15,0.0015891398070380092
2012-01-15,0.004639232065528631
2012-02-15,0.002208162099123001
2012-03-15,0.009154030121862888
2012-04-15,0.0015062434831634164
2012-05-15,0.0011123998556286097
2012-06-15,0.0005212585092522204
2012-07-15,0.0006231445586308837
2012-08-15,0.0007726943003945053
2012-09-15,0.0023532670456916094
2012-10-15,0.0005429874872788787
2012-11-15,0.0003396195243112743
2012-12-15,0.0009847934124991298
2013-01-15,0.001810524263419211
2013-02-15,0.002833171049132943
2013-03-15,0.0018043508753180504
2013-04-15,0.0022364917676895857
2013-05-15,0.0012916297418996692
2013-06-15,0.0025365250185132027
2013-07-15,0.004295311402529478
2013-08-15,0.0005454021156765521
2013-09-15,
2013-10-15,0.0005358246271498501
2013-11-15,0.00027695251628756523
2013-12-15,0.0008074017241597176
2014-01-15,0.004848308861255646
2014-02-15,0.008365643210709095
2014-03-15,0.0019167433492839336
2014-04-15,0.002231885679066181
2014-05-15,0.00125161895994097
2014-06-15,0.006867650896310806
2014-07-15,0.002615508623421192
2014-08-15,
2014-09-15,
2014-10-15,0.002007670933380723
2014-11-15,0.0030517575796693563
2014-12-15,0.0005231931572780013
2015-01-15,0.003933170810341835
2015-02-15,0.0014945499133318663
2015-03-15,0.00234785838983953
2015-04-15,0.0074765319004654884
2015-05-15,0.0009269015281461179
2015-06-15,0.0007569440058432519
2015-07-15,0.0009113677078858018
2015-08-15,0.0006548070232383907
2015-09-15,0.0023470160085707903
2015-10-15,0.0036044763401150703
2015-11-15,0.0006913472316227853
2015-12-15,
2016-01-15,0.0033766264095902443
2016-02-15,0.005710345692932606
2016-03-15,0.002559565706178546
2016-04-15,0.002076786244288087
2016-05-15,0.0061333379708230495
2016-06-15,0.0009654760360717773
2016-07-15,0.0010715750977396965
2016-08-15,0.0006112151313573122
2016-09-15,0.001979807624593377
2016-10-15,0.013246165588498116
2016-11-15,0.001757290679961443
2016-12-15,0.0004304849717300385
2017-01-15,0.0016210735775530338
2017-02-15,0.004538438282907009
2017-03-15,0.0014677209546789527
2017-04-15,0.002252776874229312
2017-05-15,0.0025534534361213446
2017-06-15,0.0014097109669819474
2017-07-15,0.0044300430454313755
2017-08-15,0.00041058409260585904
2017-09-15,0.024788646027445793
2017-10-15,0.02562572807073593
2017-11-15,0.0009017068077810109
2017-12-15,0.0008703389321453869
2018-01-15,0.012058151885867119
2018-02-15,0.0060417018830776215
2018-03-15,0.002038604114204645
2018-04-15,0.0019071003189310431
2018-05-15,0.0021442642901092768
2018-06-15,0.0006280496018007398
2018-07-15,0.0026397579349577427
2018-08-15,0.0018567434744909406
2018-09-15,0.0009294394985772669
2018-10-15,0.0006426959880627692
2018-11-15,0.002112695947289467
2018-12-15,0.001366279786452651
2019-01-15,0.002149353502318263
2019-02-15,0.0015666865510866046
2019-03-15,0.0017451036255806684
2019-04-15,0.01208674255758524
2019-05-15,0.0012494815746322274
2019-06-15,0.0009592906571924686
2019-07-15,0.00425238162279129
2019-08-15,0.004294540733098984
2019-09-15,0.012627795338630676
2019-10-15,0.0019914708100259304
2019-11-15,0.000499431393109262
2019-12-15,0.0015627547400072217
