time,vmrc2h6
2015-06-15,4.464560508728027
2015-07-15,3.7856132984161377
2015-08-15,4.659762382507324
2015-09-15,3.908475637435913
2015-10-15,5.871345520019531
2015-11-15,3.7313873767852783
2015-12-15,4.759174346923828
2016-01-15,4.863595962524414
2016-02-15,5.095537185668945
2016-03-15,5.510128498077393
2016-04-15,4.762402534484863
2016-05-15,4.512819290161133
2016-06-15,4.958513259887695
2016-07-15,4.409845352172852
2016-08-15,4.228736877441406
2016-09-15,5.04573392868042
2016-10-15,5.075007915496826
2016-11-15,4.690099239349365
2016-12-15,6.233432292938232
2017-01-15,5.597314834594727
2017-02-15,5.762834548950195
2017-03-15,4.575514793395996
2017-04-15,4.510865688323975
2017-05-15,4.4773454666137695
2017-06-15,3.7504072189331055
2017-07-15,3.404141902923584
